repeat,fold,n_test,n_positive,average_precision,roc_auc,threshold,validation_recall,precision,recall,f1,alert_rate,arm
4,2,294,47,0.5332940269178313,0.7931346369196314,0.13114754098360656,0.9148936170212766,0.21808510638297873,0.8723404255319149,0.34893617021276596,0.6394557823129252,holdout
4,3,294,47,0.5593707621959074,0.7766818847445948,0.075,0.8297872340425532,0.3008130081300813,0.7872340425531915,0.43529411764705883,0.41836734693877553,holdout
4,4,294,47,0.5049853504964336,0.8172969247997244,0.18604651162790697,0.8297872340425532,0.33035714285714285,0.7872340425531915,0.46540880503144655,0.38095238095238093,holdout
0,0,294,48,0.5322427453260026,0.8098746612466126,0.08433734939759036,0.851063829787234,0.2802547770700637,0.9166666666666666,0.4292682926829268,0.5340136054421769,crossfit
0,1,294,48,0.4793166806892952,0.7967903116531165,0.1,0.8085106382978723,0.2868217054263566,0.7708333333333334,0.4180790960451977,0.4387755102040816,crossfit
0,2,294,47,0.6204845640688847,0.8328021362735808,0.1504424778761062,0.8085106382978723,0.4383561643835616,0.6808510638297872,0.5333333333333333,0.24829931972789115,crossfit
0,3,294,47,0.5790761499133065,0.815401843397364,0.12949640287769784,0.8958333333333334,0.4125,0.7021276595744681,0.5196850393700787,0.272108843537415,crossfit
0,4,294,47,0.5921424813436181,0.8190197260745973,0.09444444444444444,0.8333333333333334,0.2740740740740741,0.7872340425531915,0.4065934065934066,0.45918367346938777,crossfit
1,0,294,48,0.5512957502551092,0.8188092818428184,0.12931034482758622,0.8297872340425532,0.37383177570093457,0.8333333333333334,0.5161290322580645,0.36394557823129253,crossfit
1,1,294,48,0.6081607592218924,0.8568766937669376,0.09090909090909091,0.851063829787234,0.336,0.875,0.48554913294797686,0.42517006802721086,crossfit
1,2,294,47,0.6892209183248494,0.8742355069342752,0.11764705882352941,0.8085106382978723,0.328,0.8723404255319149,0.47674418604651164,0.42517006802721086,crossfit
1,3,294,47,0.5494031555257585,0.7953312085450944,0.11374407582938388,0.8297872340425532,0.32967032967032966,0.6382978723404256,0.43478260869565216,0.30952380952380953,crossfit
1,4,294,47,0.484607443473921,0.771944181238694,0.03773584905660377,0.8297872340425532,0.22282608695652173,0.8723404255319149,0.354978354978355,0.6258503401360545,crossfit
2,0,294,48,0.5842284889023877,0.8270240514905148,0.11428571428571428,0.8085106382978723,0.3333333333333333,0.8333333333333334,0.47619047619047616,0.40816326530612246,crossfit
2,1,294,48,0.49727101390655115,0.8067411924119241,0.15602836879432624,0.8085106382978723,0.39473684210526316,0.625,0.4838709677419355,0.2585034013605442,crossfit
2,2,294,47,0.6109349612269495,0.8208717374450858,0.08641975308641975,0.8541666666666666,0.31666666666666665,0.8085106382978723,0.4550898203592814,0.40816326530612246,crossfit
2,3,294,47,0.5608183557862694,0.8076923076923076,0.1518987341772152,0.8333333333333334,0.40963855421686746,0.723404255319149,0.5230769230769231,0.282312925170068,crossfit
2,4,294,47,0.6412913397481752,0.8553708329744164,0.08264462809917356,0.875,0.2846715328467153,0.8297872340425532,0.42391304347826086,0.46598639455782315,crossfit
3,0,294,48,0.5534911362040765,0.8083079268292682,0.13725490196078433,0.851063829787234,0.3130434782608696,0.75,0.44171779141104295,0.391156462585034,crossfit
3,1,294,48,0.6147398327845841,0.8573424796747968,0.10714285714285714,0.8297872340425532,0.4111111111111111,0.7708333333333334,0.5362318840579711,0.30612244897959184,crossfit
3,2,294,47,0.6244920481091365,0.8261693513653201,0.08163265306122448,0.8125,0.2808219178082192,0.8723404255319149,0.42487046632124353,0.4965986394557823,crossfit
3,3,294,47,0.5210397994560392,0.7980015505211474,0.105,0.875,0.2765957446808511,0.8297872340425532,0.4148936170212766,0.47959183673469385,crossfit
3,4,294,47,0.46177374536077165,0.7798259970712379,0.15,0.8541666666666666,0.38095238095238093,0.5106382978723404,0.43636363636363634,0.21428571428571427,crossfit
4,0,294,48,0.5517379653037846,0.8476880081300814,0.0859375,0.8936170212765957,0.35344827586206895,0.8541666666666666,0.5,0.3945578231292517,crossfit
4,1,294,48,0.6683750614014964,0.8767784552845529,0.1111111111111111,0.8297872340425532,0.4175824175824176,0.7916666666666666,0.5467625899280576,0.30952380952380953,crossfit
4,2,294,47,0.5476969481057118,0.7936514773020933,0.051470588235294115,0.9148936170212766,0.23809523809523808,0.851063829787234,0.37209302325581395,0.5714285714285714,crossfit
4,3,294,47,0.5758830792423312,0.7853820311827031,0.10975609756097561,0.8297872340425532,0.29914529914529914,0.7446808510638298,0.4268292682926829,0.3979591836734694,crossfit
4,4,294,47,0.5167331373744665,0.8092428288396933,0.08780487804878048,0.8723404255319149,0.3053435114503817,0.851063829787234,0.449438202247191,0.445578231292517,crossfit
