recall,precision_mean,precision_sem,n_repeats,model
0.47000000000000003,0.6296041404493912,0.006207291604483149,5,logreg
0.48,0.6158383357571975,0.004347532629008973,5,logreg
0.49,0.5996103964750066,0.005020966276177592,5,logreg
0.5,0.5953529365511633,0.005126849859810843,5,logreg
0.51,0.5908324514988574,0.006289249051235356,5,logreg
0.52,0.5840328649647425,0.009453286589079572,5,logreg
0.53,0.5808648872335193,0.007893045813764129,5,logreg
0.54,0.5644654363565931,0.009320665541481721,5,logreg
0.55,0.554339965135594,0.008150879075829278,5,logreg
0.56,0.5504048232090796,0.007686084941093518,5,logreg
0.5700000000000001,0.5361767425224886,0.006317984220732545,5,logreg
0.58,0.5305131299648649,0.006446447543320636,5,logreg
0.59,0.5255779008984297,0.006887723861692926,5,logreg
0.6,0.5183036806451581,0.007866690319580929,5,logreg
0.61,0.509836695892096,0.0070267218684385985,5,logreg
0.62,0.502422432771437,0.004109333783220066,5,logreg
0.63,0.48306318659535885,0.008888876598530009,5,logreg
0.64,0.4841536067831947,0.00850985208670673,5,logreg
0.65,0.4679133379681836,0.008375045451112093,5,logreg
0.66,0.46087327165178704,0.005870550287390422,5,logreg
0.67,0.4528100524144417,0.004092200424475877,5,logreg
0.68,0.4391381165726484,0.007028257695024824,5,logreg
0.6900000000000001,0.43578075296880303,0.007837650718580313,5,logreg
0.7000000000000001,0.4337677169905854,0.009009037159739426,5,logreg
0.71,0.41248597936975007,0.008733255017470362,5,logreg
0.72,0.3992860536419248,0.006821958561504206,5,logreg
0.73,0.38212808583809815,0.00212806956531789,5,logreg
0.74,0.37782867604415815,0.003932561528112584,5,logreg
0.75,0.3732819787184535,0.003497531381825215,5,logreg
0.76,0.36008659223688033,0.00440561321278504,5,logreg
0.77,0.3516309812317814,0.005520206432320191,5,logreg
0.78,0.33053229805795636,0.007539186209263263,5,logreg
0.79,0.32487655948190747,0.007725534868907328,5,logreg
0.8,0.3174612477471748,0.0070245597735609745,5,logreg
0.81,0.31045275968686736,0.0073672527221877795,5,logreg
0.8200000000000001,0.30030064912391075,0.0063995521503278354,5,logreg
0.8300000000000001,0.2949565140545092,0.004402817596837137,5,logreg
0.84,0.2866873768444848,0.0013889681391490946,5,logreg
0.85,0.2818020193728934,0.002288279763104224,5,logreg
0.86,0.2752056380839507,0.004553512072990645,5,logreg
0.87,0.2648553629938023,0.003280339791477451,5,logreg
0.88,0.25868069139423194,0.0032957131023136515,5,logreg
0.89,0.24612164600677683,0.0023778709998759115,5,logreg
0.9,0.23300983771789419,0.0011465178811904825,5,logreg
0.91,0.2242902885880434,0.004379314596590731,5,logreg
0.92,0.20712239056987292,0.0023154159128235163,5,logreg
0.93,0.19944748666260614,0.003152524310544887,5,logreg
0.9400000000000001,0.19566643061110714,0.003199908524824334,5,logreg
0.9500000000000001,0.1850543717795549,0.0014066084567920657,5,logreg
0.96,0.18221090080848842,0.002115288635697379,5,logreg
0.97,0.17556914949686311,0.0007332609929773531,5,logreg
0.98,0.16782213226785414,0.0006965976900855706,5,logreg
0.99,0.1663368090337332,0.0005388831560699434,5,logreg
1.0,0.16122448979591836,0.0,5,logreg
0.0,1.0,0.0,5,random_forest
0.01,1.0,0.0,5,random_forest
0.02,1.0,0.0,5,random_forest
0.03,1.0,0.0,5,random_forest
0.04,1.0,0.0,5,random_forest
0.05,0.9595714285714287,0.04042857142857141,5,random_forest
0.06,0.9184574303405573,0.04773579433236571,5,random_forest
0.07,0.9096824069978868,0.03650916320045069,5,random_forest
0.08,0.9004837469166989,0.032156523092994375,5,random_forest
0.09,0.8721638110574343,0.021752573537114624,5,random_forest
0.1,0.8626430733351272,0.02682724530728938,5,random_forest
0.11,0.8344379645312975,0.015903039505532457,5,random_forest
0.12,0.8202041630247512,0.010896489249069047,5,random_forest
0.13,0.786104399232127,0.01949787779041078,5,random_forest
0.14,0.758062285817392,0.0068046278281199656,5,random_forest
0.15,0.7575167196850989,0.008184518703570665,5,random_forest
0.16,0.7351340719444359,0.01672810816631483,5,random_forest
0.17,0.7354249316261718,0.018003271697814394,5,random_forest
0.18,0.7227758406038653,0.01531901117235962,5,random_forest
0.19,0.705252727211559,0.01999129804207772,5,random_forest
0.2,0.6858224696934622,0.009092956570389579,5,random_forest
0.21,0.6786857076976038,0.005682941679048578,5,random_forest
0.22,0.665249091423749,0.008888266716487701,5,random_forest
0.23,0.6661270375081939,0.008244686640709199,5,random_forest
0.24,0.6587677303577365,0.009143769630584192,5,random_forest
0.25,0.6611170311725125,0.008591086470474248,5,random_forest
0.26,0.6686052240378118,0.008767294334570536,5,random_forest
0.27,0.6628086796270984,0.00682350715319014,5,random_forest
0.28,0.6478569347739389,0.010348284623185818,5,random_forest
0.29,0.6383382374785197,0.010800488730261716,5,random_forest
0.3,0.6266860353323942,0.01150869217885844,5,random_forest
0.31,0.6144970606380554,0.006667161226657402,5,random_forest
0.32,0.6105304241744175,0.010818730432407296,5,random_forest
0.33,0.6009058305332352,0.007348461306371178,5,random_forest
0.34,0.5957604419272777,0.006695844332566139,5,random_forest
0.35000000000000003,0.5847674885547078,0.007862494230345742,5,random_forest
